"species","weight","length1","length2","length3","heightpc","widthpc","sex","height","width"
"pike",456,40,42.5,45.5,16,9.5,"unknown",7.28,4.3225
"pike",510,40,42.5,45.5,15,9.8,"unknown",6.825,4.459
"pike",540,40.1,43,45.8,17,11.2,"unknown",7.786,5.1296
"pike",500,42,45,48,14.5,10.2,"unknown",6.96,4.896
"pike",567,43.2,46,48.7,16,10,"female",7.792,4.87
"pike",770,44.8,48,51.2,15,10.5,"female",7.68,5.376
"pike",950,48.3,51.7,55.1,16.2,11.2,"unknown",8.9262,6.1712
"pike",1250,52,56,59.7,17.9,11.7,"unknown",10.6863,6.9849
"pike",1600,56,60,64,15,9.6,"unknown",9.6,6.144
"pike",1550,56,60,64,15,9.6,"female",9.6,6.144
"pike",1650,59,63.4,68,15.9,11,"female",10.812,7.48
"perch",5.9,7.5,8.4,8.8,24,16,"unknown",2.112,1.408
"perch",32,12.5,13.7,14.7,24,13.6,"unknown",3.528,1.9992
"perch",40,13.8,15,16,23.9,15.2,"unknown",3.824,2.432
"perch",51.5,15,16.2,17.2,26.7,15.3,"unknown",4.5924,2.6316
"perch",70,15.7,17.4,18.5,24.8,15.9,"unknown",4.588,2.9415
"perch",100,16.2,18,19.2,27.2,17.3,"unknown",5.2224,3.3216
"perch",78,16.8,18.7,19.4,26.8,16.1,"unknown",5.1992,3.1234
"perch",80,17.2,19,20.2,27.9,15.1,"unknown",5.6358,3.0502
"perch",85,17.8,19.6,20.8,24.7,14.6,"unknown",5.1376,3.0368
"perch",85,18.2,20,21,24.2,13.2,"unknown",5.082,2.772
"perch",110,19,21,22.5,25.3,15.8,"unknown",5.6925,3.555
"perch",115,19,21,22.5,26.3,14.7,"unknown",5.9175,3.3075
"perch",125,19,21,22.5,25.3,16.3,"male",5.6925,3.6675
"perch",130,19.3,21.3,22.8,28,15.5,"female",6.384,3.534
"perch",120,20,22,23.5,26,14.5,"female",6.11,3.4075
"perch",120,20,22,23.5,24,15,"unknown",5.64,3.525
"perch",130,20,22,23.5,26,15,"unknown",6.11,3.525
"perch",135,20,22,23.5,25,15,"unknown",5.875,3.525
"perch",110,20,22,23.5,23.5,17,"female",5.5225,3.995
"perch",130,20.5,22.5,24,24.4,15.1,"female",5.856,3.624
"perch",150,20.5,22.5,24,28.3,15.1,"female",6.792,3.624
"perch",145,20.7,22.7,24.2,24.6,15,"unknown",5.9532,3.63
"perch",150,21,23,24.5,21.3,14.8,"unknown",5.2185,3.626
"perch",170,21.5,23.5,25,25.1,14.9,"unknown",6.275,3.725
"perch",225,22,24,25.5,28.6,14.6,"unknown",7.293,3.723
"perch",145,22,24,25.5,25,15,"unknown",6.375,3.825
"perch",188,22.6,24.6,26.2,25.7,15.9,"unknown",6.7334,4.1658
"perch",180,23,25,26.5,24.3,13.9,"female",6.4395,3.6835
"perch",197,23.5,25.6,27,24.3,15.7,"unknown",6.561,4.239
"perch",218,25,26.5,28,25.6,14.8,"unknown",7.168,4.144
"perch",300,25.2,27.3,28.7,29,17.9,"female",8.323,5.1373
"perch",260,25.4,27.5,28.9,24.8,15,"female",7.1672,4.335
"perch",265,25.4,27.5,28.9,24.4,15,"unknown",7.0516,4.335
"perch",250,25.4,27.5,28.9,25.2,15.8,"female",7.2828,4.5662
"perch",250,25.9,28,29.4,26.6,14.3,"unknown",7.8204,4.2042
"perch",300,26.9,28.7,30.1,25.2,15.4,"female",7.5852,4.6354
"perch",320,27.8,30,31.6,24.1,15.1,"female",7.6156,4.7716
"perch",514,30.5,32.8,34,29.5,17.7,"unknown",10.03,6.018
"perch",556,32,34.5,36.5,28.1,17.5,"unknown",10.2565,6.3875
"perch",840,32.5,35,37.3,30.8,20.9,"female",11.4884,7.7957
"perch",685,34,36.5,39,27.9,17.6,"female",10.881,6.864
"perch",700,34,36,38.3,27.7,17.6,"female",10.6091,6.7408
"perch",700,34.5,37,39.4,27.5,15.9,"female",10.835,6.2646
"perch",690,34.6,37,39.3,26.9,16.2,"female",10.5717,6.3666
"perch",900,36.5,39,41.4,26.9,18.1,"female",11.1366,7.4934
"perch",650,36.5,39,41.4,26.9,14.5,"unknown",11.1366,6.003
"perch",820,36.6,39,41.3,30.1,17.8,"unknown",12.4313,7.3514
"perch",850,36.9,40,42.3,28.2,16.8,"female",11.9286,7.1064
"perch",900,37,40,42.5,27.6,17,"female",11.73,7.225
"perch",1015,37,40,42.4,29.2,17.6,"female",12.3808,7.4624
"perch",820,37.1,40,42.5,26.2,15.6,"female",11.135,6.63
"perch",1100,39,42,44.6,28.7,15.4,"female",12.8002,6.8684
"perch",1000,39.8,43,45.2,26.4,16.1,"female",11.9328,7.2772
"perch",1100,40.1,43,45.5,27.5,16.3,"female",12.5125,7.4165
"perch",1000,40.2,43.5,46,27.4,17.7,"male",12.604,8.142
"perch",1000,41.1,44,46.6,26.8,16.3,"female",12.4888,7.5958
