species weight length1 length2 length3 heightpc widthpc sex
smelt 12.2 12.1 13 13.8 16.5 9.1 female
smelt 19.7 13.2 14.3 15.2 18.9 13.6 female
smelt 19.9 13.8 15 16.2 18.1 11.6 female
pike 200 30 32.3 34.8 16 9.7 unknown
pike 300 31.7 34 37.8 15.1 11 female
pike 300 32.7 35 38.8 15.3 11.3 unknown
pike 300 34.8 37.3 39.8 15.8 10.1 unknown
pike 430 35.5 38 40.5 18 11.3 unknown
pike 345 36 38.5 41 15.6 9.7 male
pike 456 40 42.5 45.5 16 9.5 unknown
pike 510 40 42.5 45.5 15 9.8 unknown
pike 540 40.1 43 45.8 17 11.2 unknown
pike 500 42 45 48 14.5 10.2 unknown
pike 567 43.2 46 48.7 16 10 female
pike 770 44.8 48 51.2 15 10.5 female
pike 950 48.3 51.7 55.1 16.2 11.2 unknown
pike 1250 52 56 59.7 17.9 11.7 unknown
pike 1600 56 60 64 15 9.6 unknown
pike 1550 56 60 64 15 9.6 female
pike 1650 59 63.4 68 15.9 11 female
perch 5.9 7.5 8.4 8.8 24 16 unknown
perch 32 12.5 13.7 14.7 24 13.6 unknown
perch 40 13.8 15 16 23.9 15.2 unknown
perch 51.5 15 16.2 17.2 26.7 15.3 unknown
perch 70 15.7 17.4 18.5 24.8 15.9 unknown
perch 100 16.2 18 19.2 27.2 17.3 unknown
perch 78 16.8 18.7 19.4 26.8 16.1 unknown
perch 80 17.2 19 20.2 27.9 15.1 unknown
perch 85 17.8 19.6 20.8 24.7 14.6 unknown
perch 85 18.2 20 21 24.2 13.2 unknown
perch 110 19 21 22.5 25.3 15.8 unknown
perch 115 19 21 22.5 26.3 14.7 unknown
perch 125 19 21 22.5 25.3 16.3 male
perch 130 19.3 21.3 22.8 28 15.5 female
perch 120 20 22 23.5 26 14.5 female
perch 120 20 22 23.5 24 15 unknown
perch 130 20 22 23.5 26 15 unknown
perch 135 20 22 23.5 25 15 unknown
perch 110 20 22 23.5 23.5 17 female
perch 130 20.5 22.5 24 24.4 15.1 female
perch 150 20.5 22.5 24 28.3 15.1 female
perch 145 20.7 22.7 24.2 24.6 15 unknown
perch 150 21 23 24.5 21.3 14.8 unknown
perch 170 21.5 23.5 25 25.1 14.9 unknown
perch 225 22 24 25.5 28.6 14.6 unknown
perch 145 22 24 25.5 25 15 unknown
perch 188 22.6 24.6 26.2 25.7 15.9 unknown
perch 180 23 25 26.5 24.3 13.9 female
perch 197 23.5 25.6 27 24.3 15.7 unknown
perch 218 25 26.5 28 25.6 14.8 unknown
perch 300 25.2 27.3 28.7 29 17.9 female
perch 260 25.4 27.5 28.9 24.8 15 female
perch 265 25.4 27.5 28.9 24.4 15 unknown
perch 250 25.4 27.5 28.9 25.2 15.8 female
perch 250 25.9 28 29.4 26.6 14.3 unknown
perch 300 26.9 28.7 30.1 25.2 15.4 female
perch 320 27.8 30 31.6 24.1 15.1 female
perch 514 30.5 32.8 34 29.5 17.7 unknown
perch 556 32 34.5 36.5 28.1 17.5 unknown
perch 840 32.5 35 37.3 30.8 20.9 female
perch 685 34 36.5 39 27.9 17.6 female
perch 700 34 36 38.3 27.7 17.6 female
perch 700 34.5 37 39.4 27.5 15.9 female
perch 690 34.6 37 39.3 26.9 16.2 female
perch 900 36.5 39 41.4 26.9 18.1 female
perch 650 36.5 39 41.4 26.9 14.5 unknown
perch 820 36.6 39 41.3 30.1 17.8 unknown
perch 850 36.9 40 42.3 28.2 16.8 female
perch 900 37 40 42.5 27.6 17 female
perch 1015 37 40 42.4 29.2 17.6 female
perch 820 37.1 40 42.5 26.2 15.6 female
perch 1100 39 42 44.6 28.7 15.4 female
perch 1000 39.8 43 45.2 26.4 16.1 female
perch 1100 40.1 43 45.5 27.5 16.3 female
perch 1000 40.2 43.5 46 27.4 17.7 male
perch 1000 41.1 44 46.6 26.8 16.3 female
