 train         node   crimcoord1     crimcoord2   observed  predicted
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            9    0.4749E+0001    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            9    0.4871E+0001    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            9    0.4659E+0001    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            9    0.4599E+0001    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            9    0.4801E+0001    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            9    0.5049E+0001    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            8    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            8    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            8    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            8    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.1000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            8    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            9    0.5796E+0001    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            8    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            8    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
     y            3    0.0000E+0000    0.2000E+0001  "F"  "F"
